City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Waling,NP,2022-05-29 17:06:14,27.9833,83.7667,73.58,70,69,3.6,broken clouds
219,Qui Nhon,VN,2022-05-29 17:06:14,13.7667,109.2333,80.62,79,24,5.61,few clouds
220,Haines Junction,CA,2022-05-29 17:06:14,60.7522,-137.5108,53.46,43,53,1.81,broken clouds
221,Senanga,ZM,2022-05-29 17:06:15,-16.1167,23.2667,64.98,35,0,1.68,clear sky
222,Hannibal,US,2022-05-29 17:06:15,39.7084,-91.3585,83.32,44,0,11.5,clear sky
223,College,US,2022-05-29 17:05:26,64.8569,-147.8028,59.32,60,20,3.44,few clouds
224,Viana,BR,2022-05-29 17:06:15,-20.3903,-40.4961,80.37,53,21,7.9,few clouds
225,Villanueva,HN,2022-05-29 17:06:16,15.3167,-88.0,83.68,71,88,2.48,overcast clouds
226,Kalabo,ZM,2022-05-29 17:06:16,-14.97,22.6814,65.35,38,0,3.06,clear sky
227,Dikson,RU,2022-05-29 17:06:16,73.5069,80.5464,24.98,95,37,5.75,scattered clouds
228,Nuuk,GL,2022-05-29 17:06:17,64.1835,-51.7216,39.81,75,0,11.5,clear sky
229,Algiers,DZ,2022-05-29 17:04:26,36.7525,3.042,82.22,42,75,9.22,broken clouds
230,Saint Anthony,US,2022-05-29 17:06:17,45.0205,-93.218,74.14,80,75,20.71,broken clouds
231,Tilichiki,RU,2022-05-29 17:06:17,60.4667,166.1,35.42,98,100,0.6,light rain
232,Samarai,PG,2022-05-29 17:06:18,-10.6167,150.6667,78.06,70,22,5.88,few clouds
233,Tura,IN,2022-05-29 17:06:18,25.5198,90.2201,73.33,87,0,4.16,clear sky
234,Imbituba,BR,2022-05-29 17:06:18,-28.24,-48.6703,68.09,82,99,13.0,moderate rain
235,Sola,VU,2022-05-29 17:06:19,-13.8833,167.55,80.42,75,10,3.27,clear sky
236,Laramie,US,2022-05-29 17:03:29,41.3114,-105.5911,61.54,38,20,8.05,few clouds
237,Camacari,BR,2022-05-29 17:06:19,-12.6975,-38.3242,83.97,67,100,7.54,overcast clouds
238,Zupanja,HR,2022-05-29 17:06:19,45.0775,18.6975,58.98,71,100,10.47,overcast clouds
239,Dudinka,RU,2022-05-29 17:06:20,69.4058,86.1778,36.63,86,21,21.23,few clouds
240,Kuala Terengganu,MY,2022-05-29 17:06:20,5.3302,103.1408,79.93,83,100,4.41,overcast clouds
241,Aguilas,ES,2022-05-29 17:06:20,37.4063,-1.5829,83.03,41,98,8.19,overcast clouds
242,Pontecorvo,IT,2022-05-29 17:06:20,41.4616,13.6667,76.42,60,13,7.27,few clouds
243,Yaremche,UA,2022-05-29 17:06:21,48.4583,24.5519,52.36,91,100,2.71,overcast clouds
244,Fukue,JP,2022-05-29 17:06:21,32.6881,128.8419,67.6,94,100,22.28,overcast clouds
245,Fairbanks,US,2022-05-29 17:06:21,64.8378,-147.7164,59.34,60,0,3.44,clear sky
246,Adelaide,AU,2022-05-29 17:01:45,-34.9333,138.6,53.19,90,75,17.27,light intensity shower rain
247,Bandarbeyla,SO,2022-05-29 17:06:22,9.4942,50.8122,79.79,84,26,28.86,scattered clouds
248,Klaksvik,FO,2022-05-29 17:06:22,62.2266,-6.589,41.92,82,100,26.62,overcast clouds
249,Urumqi,CN,2022-05-29 17:06:04,43.801,87.6005,72.55,38,0,11.18,clear sky
250,Valdivia,CL,2022-05-29 17:06:23,-39.8142,-73.2459,39.29,64,71,2.04,broken clouds
251,Makakilo City,US,2022-05-29 17:06:23,21.3469,-158.0858,73.72,85,20,5.75,few clouds
252,Soyo,AO,2022-05-29 17:03:00,-6.1349,12.3689,75.6,83,47,10.65,scattered clouds
253,Hambantota,LK,2022-05-29 17:06:23,6.1241,81.1185,79.65,83,100,15.05,overcast clouds
254,Ossora,RU,2022-05-29 17:06:23,59.2353,163.0719,38.77,90,100,5.17,overcast clouds
255,Surok,RU,2022-05-29 17:06:24,56.4469,48.1214,50.83,82,21,6.4,few clouds
256,Venado Tuerto,AR,2022-05-29 17:06:24,-33.7456,-61.9688,55.76,23,31,9.86,scattered clouds
257,Ribeira Grande,PT,2022-05-29 17:06:24,38.5167,-28.7,61.2,63,40,19.57,scattered clouds
258,Upernavik,GL,2022-05-29 17:06:25,72.7868,-56.1549,31.33,82,10,13.91,clear sky
259,Fort Saint James,CA,2022-05-29 17:06:25,54.4333,-124.25,52.34,58,100,8.95,overcast clouds
